기간	자치구	합계	합계	합계	합계	농업및임업	농업및임업	농업및임업	농업및임업	어업	어업	어업	어업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	전기가스수도사업	전기가스수도사업	전기가스수도사업	전기가스수도사업	건설업	건설업	건설업	건설업	도소매업	도소매업	도소매업	도소매업	숙박및음식점업	숙박및음식점업	숙박및음식점업	숙박및음식점업	운수업	운수업	운수업	운수업	통신업	통신업	통신업	통신업	금융및보험업	금융및보험업	금융및보험업	금융및보험업	부동산업및임대업	부동산업및임대업	부동산업및임대업	부동산업및임대업	사업서비스업	사업서비스업	사업서비스업	사업서비스업	공공행정국방및사회보장행정	공공행정국방및사회보장행정	공공행정국방및사회보장행정	공공행정국방및사회보장행정	교육서비스업	교육서비스업	교육서비스업	교육서비스업	보건및사회복지사업	보건및사회복지사업	보건및사회복지사업	보건및사회복지사업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	오락문화및운동관련서비스업	기타공공및개인서비스업	기타공공및개인서비스업	기타공공및개인서비스업	기타공공및개인서비스업
기간	자치구	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	종사자수	종사자수
기간	자치구	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자	사업체수	계	남자	여자
2004	서울특별시	740,779	3,732,230	2,216,396	1,515,834	28	405	307	98	15	476	360	116	47	398	303	95	68,866	464,256	292,980	171,276	188	12,356	10,130	2,226	19,460	207,124	178,761	28,363	225,799	763,193	442,357	320,836	121,639	390,822	140,553	250,269	94,102	243,020	207,986	35,034	2,097	40,607	28,059	12,548	8,276	202,436	105,412	97,024	33,086	136,982	95,551	41,431	33,892	499,669	326,229	173,440	1,437	112,250	86,014	26,236	22,369	232,393	93,100	139,293	16,951	151,072	46,395	104,677	28,010	102,613	66,658	35,955	64,517	172,158	95,241	76,917
2004	종로구	39,115	215,442	128,422	87,020	1	8	-	-	2	28	-	-	4	37	-	-	4,584	29,821	-	-	3	66	-	-	338	10,052	-	-	17,817	44,783	-	-	6,165	21,675	-	-	1,954	10,055	-	-	114	3,126	-	-	547	16,540	-	-	1,024	4,583	-	-	1,673	25,727	-	-	109	16,687	-	-	612	9,711	-	-	576	9,713	-	-	1,120	5,643	-	-	2,472	7,187	-	-
2004	중구	69,748	357,458	207,444	150,014	1	59	-	-	-	-	-	-	7	27	-	-	11,294	54,792	-	-	7	844	-	-	471	11,188	-	-	39,027	103,492	-	-	6,067	30,532	-	-	2,296	20,657	-	-	214	3,250	-	-	1,102	45,120	-	-	1,255	7,426	-	-	3,701	47,281	-	-	68	8,936	-	-	342	4,709	-	-	568	5,877	-	-	965	5,233	-	-	2,363	8,035	-	-
2004	용산구	21,263	112,603	70,725	41,878	-	-	-	-	1	28	-	-	2	10	-	-	1,574	11,873	-	-	3	63	-	-	401	4,321	-	-	8,946	31,511	-	-	3,640	12,764	-	-	1,618	5,651	-	-	98	2,362	-	-	226	3,548	-	-	909	3,310	-	-	653	14,818	-	-	47	3,713	-	-	392	6,085	-	-	348	3,932	-	-	588	2,552	-	-	1,817	6,062	-	-
2004	성동구	24,466	109,734	69,801	39,933	-	-	-	-	-	-	-	-	-	-	-	-	5,330	36,431	-	-	8	651	-	-	426	2,971	-	-	5,984	18,526	-	-	3,758	9,165	-	-	2,937	7,605	-	-	87	1,386	-	-	379	2,342	-	-	1,032	3,246	-	-	492	5,237	-	-	49	2,317	-	-	606	7,473	-	-	473	4,351	-	-	796	1,907	-	-	2,109	6,126	-	-
2004	광진구	23,923	98,087	57,677	40,410	-	-	-	-	-	-	-	-	-	-	-	-	2,207	11,619	-	-	8	244	-	-	673	9,191	-	-	6,627	18,292	-	-	4,513	13,094	-	-	2,480	6,120	-	-	64	1,418	-	-	191	2,078	-	-	1,036	3,440	-	-	908	6,773	-	-	43	3,222	-	-	914	9,368	-	-	586	3,901	-	-	1,246	4,080	-	-	2,427	5,247	-	-
2004	동대문구	32,546	121,812	70,225	51,587	1	3	-	-	-	-	-	-	5	67	-	-	3,428	20,613	-	-	2	205	-	-	683	3,960	-	-	10,959	28,196	-	-	5,900	14,574	-	-	3,696	7,368	-	-	113	1,087	-	-	258	3,925	-	-	1,285	3,940	-	-	642	8,215	-	-	65	3,303	-	-	725	8,251	-	-	751	8,028	-	-	1,142	2,883	-	-	2,891	7,194	-	-
2004	중랑구	26,767	81,375	44,715	36,660	-	-	-	-	-	-	-	-	-	-	-	-	2,886	14,359	-	-	2	115	-	-	555	2,742	-	-	5,575	14,322	-	-	4,775	11,129	-	-	6,292	11,327	-	-	43	436	-	-	147	1,832	-	-	983	2,511	-	-	321	1,555	-	-	50	2,578	-	-	826	6,986	-	-	594	3,398	-	-	1,120	2,726	-	-	2,598	5,359	-	-
